age,income_k,hours_week,education_years,state,gender,high_income
36,54.5,35,12,CA,M,0
43,66.15,6,10,WA,M,0
63,41.62,35,12,WA,F,0
52,36.82,43,14,NY,F,0
29,40.81,34,14,NY,M,0
55,29.84,38,16,WA,F,0
29,52.72,33,10,WA,F,0
48,45.07,49,16,WA,F,1
70,71.17,42,12,NY,M,1
33,28.64,50,12,WA,M,0
23,74.37,52,18,WA,M,1
31,35.04,19,8,FL,F,0
46,31.25,31,14,CA,F,0
58,38.43,34,14,TX,M,0
42,80.09,64,12,CA,M,1
35,50.46,43,12,FL,M,0
63,55.83,49,12,TX,F,1
38,45.74,24,18,WA,M,1
62,51.62,42,12,FL,M,0
41,41.97,49,12,WA,F,0
44,51.37,50,12,NY,F,0
42,59.53,45,16,MA,F,1
63,76.1,42,10,FL,M,1
61,22.97,40,12,NY,F,0
48,75.95,22,14,FL,F,1
36,53.69,29,18,FL,M,1
64,43.5,42,12,NY,F,0
21,42.72,32,12,TX,M,0
44,68.44,46,12,CA,M,1
25,53.56,47,14,WA,F,1
30,25.3,55,12,FL,F,0
42,53.81,50,14,WA,F,1
21,68.94,44,16,MA,F,1
64,62.43,47,16,NY,F,1
28,40.59,49,12,WA,F,0
41,31.1,33,18,NY,M,0
32,39.31,36,14,WA,M,0
35,102.81,41,14,CA,F,1
28,25.37,34,8,CA,M,0
55,37.84,50,20,CA,F,1
55,52.47,35,10,CA,M,0
50,47.28,53,12,CA,M,0
25,49.49,36,10,CA,M,0
63,76.54,46,14,NY,F,1
58,39.45,42,12,FL,M,0
59,49.24,32,12,WA,F,0
48,54.0,39,10,CA,M,0
26,39.25,43,10,NY,M,0
25,29.27,37,14,NY,M,0
26,52.31,25,16,NY,M,0
30,76.47,57,12,FL,M,1
55,53.15,42,14,WA,F,1
54,52.33,34,16,FL,F,1
69,54.64,58,8,TX,M,0
42,42.47,47,12,NY,M,0
44,66.23,29,20,TX,M,1
54,42.06,30,14,MA,M,0
54,30.0,36,12,CA,F,0
64,28.04,43,14,CA,M,0
57,50.89,47,12,FL,F,0
41,65.28,51,14,WA,M,1
49,55.77,44,10,TX,F,0
55,46.56,54,10,WA,M,0
21,57.96,42,10,FL,M,0
50,53.02,32,18,CA,F,1
58,64.36,40,16,WA,M,1
66,68.59,40,12,WA,M,1
32,34.09,15,12,CA,M,0
22,16.4,33,16,TX,F,0
18,41.48,43,12,CA,M,0
26,34.89,36,12,WA,M,0
44,61.85,33,20,TX,F,1
32,36.32,48,12,TX,F,0
58,20.0,29,16,CA,F,0
48,41.17,48,20,WA,M,1
28,29.69,27,12,FL,M,0
32,72.54,68,8,WA,M,1
35,59.5,39,12,NY,F,0
44,59.84,37,16,MA,M,1
58,60.66,50,18,FL,M,1
34,61.39,36,16,TX,F,1
52,66.9,57,10,FL,F,1
58,42.64,43,16,TX,F,0
67,28.34,39,18,TX,F,0
53,39.21,39,14,FL,F,0
28,44.9,53,18,TX,M,1
50,16.37,44,16,TX,F,0
54,68.86,43,16,NY,M,1
42,21.2,44,14,WA,M,0
59,57.89,40,12,WA,F,0
60,45.75,45,12,MA,F,0
35,55.57,40,14,MA,F,1
63,44.91,39,12,NY,M,0
50,52.93,30,18,MA,F,1
57,45.13,43,20,FL,F,1
32,39.85,22,16,CA,F,0
53,34.37,41,10,CA,F,0
29,76.52,35,12,CA,F,1
41,56.68,43,10,NY,M,0
48,55.93,30,16,NY,M,1
18,35.16,20,16,TX,M,0
59,44.63,37,18,CA,F,1
63,34.47,29,12,FL,F,0
24,40.98,22,18,MA,F,0
45,33.27,50,18,FL,M,1
47,72.34,58,12,MA,F,1
62,36.31,32,18,CA,F,0
65,37.15,40,12,CA,F,0
38,27.54,38,12,CA,M,0
46,34.83,31,14,NY,F,0
30,42.85,46,12,MA,M,0
47,45.76,52,14,NY,F,0
43,41.87,31,14,NY,M,0
58,23.2,37,14,WA,M,0
50,22.8,53,12,FL,M,0
20,59.6,48,14,FL,F,1
50,48.45,48,14,TX,F,0
29,60.71,55,14,NY,M,1
59,62.04,55,12,MA,M,1
21,50.15,50,8,WA,F,0
57,32.95,40,14,WA,F,0
27,54.76,36,12,FL,M,0
28,68.58,41,14,NY,F,1
47,42.93,35,16,TX,F,0
28,54.56,20,14,NY,F,0
54,50.23,36,14,CA,F,0
50,70.18,45,20,NY,M,1
62,39.69,35,16,CA,F,0
63,68.58,37,18,CA,F,1
45,42.14,38,16,TX,M,0
34,41.06,54,10,MA,M,0
49,53.93,35,10,FL,F,0
50,58.41,55,14,NY,F,1
44,74.38,13,12,CA,F,1
61,54.42,53,14,NY,F,1
69,48.97,53,12,MA,M,0
66,69.07,47,14,FL,M,1
29,59.31,18,16,MA,M,1
58,39.54,51,16,FL,F,1
23,70.94,39,14,WA,F,1
21,39.88,15,16,FL,F,0
69,42.76,53,12,TX,F,0
57,37.38,54,18,MA,M,1
69,41.81,22,10,CA,M,0
38,55.61,42,20,WA,F,1
70,49.81,55,16,TX,M,1
20,10.0,52,12,NY,F,0
18,48.68,48,12,MA,F,0
46,41.87,14,14,CA,M,0
42,59.49,46,12,FL,F,1
55,42.39,38,12,CA,F,0
54,87.48,50,14,NY,M,1
52,72.11,43,14,WA,F,1
21,46.17,40,16,WA,F,1
38,64.26,45,18,MA,M,1
20,59.91,39,14,WA,F,1
60,53.51,41,14,MA,M,1
45,64.75,36,10,MA,F,0
56,50.4,24,16,MA,M,0
23,52.67,46,12,FL,M,0
48,62.4,31,20,TX,M,1
26,80.99,39,16,MA,F,1
31,52.44,43,14,MA,M,1
36,42.2,19,10,TX,M,0
59,17.11,21,18,CA,M,0
42,78.55,37,16,MA,M,1
24,47.4,46,12,FL,M,0
54,57.75,46,12,WA,F,1
28,80.61,26,16,WA,F,1
39,53.04,47,12,NY,F,0
32,44.22,38,18,NY,F,1
68,72.49,30,12,WA,F,1
35,55.56,32,10,WA,F,0
52,58.32,47,16,FL,F,1
26,29.63,44,12,TX,M,0
26,65.77,41,14,NY,F,1
34,55.96,42,10,TX,M,0
46,29.35,47,8,FL,M,0
23,58.68,39,14,WA,F,1
40,20.77,42,14,MA,M,0
55,85.66,51,14,TX,M,1
40,32.75,36,16,WA,M,0
47,75.13,46,14,WA,M,1
24,40.48,34,12,CA,F,0
37,58.35,36,12,TX,F,0
41,35.79,39,18,MA,F,0
51,65.74,46,16,TX,F,1
29,46.55,51,14,WA,F,0
60,54.34,41,12,MA,F,0
51,50.71,26,12,FL,F,0
58,26.83,45,16,CA,F,0
58,58.31,64,18,WA,F,1
38,40.86,41,16,NY,F,0
60,65.75,23,16,NY,M,1
21,47.24,42,16,CA,F,1
31,53.76,40,10,FL,M,0
47,76.73,40,12,WA,M,1
43,88.45,50,12,TX,M,1
68,65.53,53,12,CA,M,1
43,46.67,47,18,FL,F,1
51,44.95,41,14,TX,M,0
46,35.59,51,14,NY,F,0
63,40.39,24,12,NY,F,0
57,44.45,32,12,TX,M,0
25,78.66,34,12,CA,F,1
36,50.78,41,12,NY,M,0
44,31.84,45,14,WA,M,0
68,48.87,38,12,MA,F,0
66,55.42,30,14,TX,F,0
21,52.44,51,10,TX,M,0
21,64.02,37,10,NY,F,0
69,47.03,40,12,CA,F,0
32,65.43,47,14,WA,F,1
23,37.17,38,16,CA,M,0
54,78.27,40,12,FL,M,1
50,58.84,49,12,FL,F,1
27,60.31,42,16,MA,F,1
59,36.27,49,8,NY,F,0
54,54.19,47,12,NY,F,0
37,62.63,60,16,NY,F,1
67,32.73,46,14,MA,M,0
37,24.11,47,12,FL,F,0
21,55.64,50,18,CA,M,1
37,42.34,41,16,MA,F,0
42,55.3,34,12,MA,M,0
53,30.76,35,14,CA,F,0
44,28.03,34,14,NY,M,0
31,51.31,32,12,WA,F,0
70,47.6,44,12,CA,M,0
27,19.74,34,12,FL,M,0
58,71.44,44,14,TX,M,1
58,28.15,38,12,TX,M,0
55,92.0,41,16,MA,M,1
42,40.61,46,16,TX,M,0
53,57.48,35,10,WA,F,0
65,74.05,46,14,NY,M,1
45,72.71,56,12,FL,F,1
51,80.38,43,14,WA,F,1
43,21.51,31,16,FL,F,0
50,34.12,34,12,FL,F,0
38,57.32,38,14,NY,F,1
66,63.68,34,12,MA,M,1
36,47.91,30,10,TX,M,0
19,26.73,43,12,NY,M,0
55,59.57,39,12,WA,F,0
36,48.11,42,20,MA,M,1
61,46.76,53,12,WA,M,0
55,15.35,40,12,MA,M,0
51,61.47,26,14,WA,M,1
27,53.58,37,10,NY,M,0
53,74.12,47,20,MA,F,1
33,48.14,48,14,MA,M,0
40,61.69,46,16,FL,F,1
67,65.75,33,12,FL,F,1
41,20.85,46,12,CA,F,0
27,86.99,51,12,WA,F,1
27,43.0,33,16,FL,F,0
22,59.21,38,8,CA,M,0
36,55.96,63,12,FL,M,1
53,37.67,34,20,WA,M,1
68,76.75,24,14,MA,F,1
31,56.64,55,12,TX,M,1
40,43.45,50,10,WA,M,0
42,52.27,35,20,NY,F,1
65,60.67,38,8,FL,F,0
48,53.1,27,16,FL,F,1
56,64.43,41,16,MA,F,1
58,23.56,50,12,NY,M,0
65,40.49,34,16,MA,F,0
26,17.14,48,10,NY,F,0
45,81.96,45,12,TX,M,1
45,79.29,47,16,FL,M,1
54,61.51,36,18,FL,F,1
39,35.68,37,14,TX,M,0
52,92.37,23,14,CA,F,1
51,40.82,35,12,MA,F,0
43,47.57,54,10,TX,M,0
66,51.43,31,10,MA,M,0
52,56.78,32,12,WA,F,0
26,54.26,47,12,FL,F,0
67,61.19,44,12,MA,F,1
37,50.52,49,12,NY,M,0
23,60.81,29,12,MA,F,0
54,44.53,67,14,WA,F,1
65,57.09,28,16,FL,F,1
38,52.6,42,12,TX,F,0
62,63.4,39,18,WA,F,1
49,57.56,27,18,FL,M,1
50,43.3,38,12,MA,F,0
49,56.57,40,16,CA,F,1
67,62.78,34,14,CA,F,1
26,30.8,48,14,NY,F,0
55,47.51,39,12,FL,M,0
60,60.21,27,14,CA,M,1
57,78.36,27,12,TX,M,1
42,61.89,47,14,FL,F,1
47,80.33,24,14,TX,F,1
71,40.05,42,16,TX,M,0
64,55.46,46,14,CA,M,1
50,60.36,30,16,FL,M,1
54,14.11,49,10,MA,F,0
52,73.8,23,12,WA,F,1
41,23.21,42,16,CA,M,0
52,66.16,40,12,CA,M,1
41,57.53,39,8,MA,M,0
52,17.81,27,12,FL,F,0
20,13.86,30,12,FL,F,0
38,69.96,57,20,TX,F,1
44,69.5,53,14,MA,M,1
61,36.22,47,18,MA,M,1
51,37.39,48,14,FL,F,0
22,53.38,47,14,TX,M,1
60,50.38,37,12,CA,F,0
64,66.26,42,14,NY,M,1
45,56.17,25,10,WA,M,0
68,69.6,39,18,CA,M,1
48,64.12,50,16,FL,M,1
66,60.74,32,12,WA,F,0
40,43.99,49,20,NY,M,1
41,39.95,40,16,NY,F,0
21,52.41,26,16,TX,F,1
48,76.33,29,10,WA,F,1
61,43.47,51,14,TX,M,0
20,49.09,47,14,CA,F,1
43,19.52,40,12,MA,F,0
35,59.21,36,10,MA,F,0
56,84.06,43,16,MA,M,1
51,38.24,51,10,WA,M,0
30,96.27,53,14,MA,F,1
61,54.66,55,18,CA,M,1
