age,income_k,hours_week,education_years,state,gender,high_income
42,35.72,48,18,FL,M,1
67,39.85,32,18,MA,M,0
67,38.41,32,14,MA,F,0
20,62.45,51,12,NY,M,1
44,63.51,27,16,WA,M,1
21,56.77,36,8,NY,M,0
49,67.75,40,14,TX,F,1
22,32.33,41,12,TX,M,0
40,75.01,38,18,MA,F,1
44,72.85,44,8,MA,M,0
39,61.03,47,14,NY,M,1
68,76.73,47,16,TX,M,1
41,25.15,30,14,TX,M,0
40,42.13,37,10,WA,F,0
52,38.97,52,20,FL,M,1
57,60.82,49,14,WA,F,1
34,34.25,26,14,CA,F,0
65,61.36,44,12,WA,M,1
34,70.56,20,14,NY,M,1
65,60.43,40,12,FL,F,1
44,54.26,59,10,NY,F,0
40,35.18,31,10,CA,M,0
43,37.3,32,16,FL,M,0
24,68.74,48,12,MA,M,1
25,61.69,25,12,TX,M,0
68,49.41,34,14,WA,M,0
62,43.73,46,16,NY,F,1
67,19.61,34,10,CA,M,0
63,33.94,38,14,TX,M,0
66,78.67,47,10,WA,F,1
42,30.79,44,8,TX,M,0
23,52.84,43,10,WA,M,0
46,65.11,37,16,MA,F,1
37,31.18,44,10,FL,M,0
40,52.77,39,8,TX,F,0
47,64.07,45,12,TX,M,1
54,50.19,35,16,TX,M,1
41,93.03,38,12,FL,M,1
59,24.97,30,12,CA,F,0
42,65.88,40,8,WA,F,0
22,47.41,32,12,MA,F,0
59,61.58,29,14,TX,F,1
69,56.62,43,14,FL,M,1
29,39.0,42,12,CA,F,0
44,53.43,48,12,WA,F,0
68,22.13,36,10,FL,F,0
27,59.05,44,12,MA,M,1
30,54.47,46,10,MA,M,0
24,59.58,44,16,WA,F,1
64,65.87,32,20,TX,F,1
56,55.51,41,20,MA,M,1
64,52.22,44,18,CA,F,1
57,36.78,40,14,FL,F,0
48,39.32,19,16,CA,F,0
24,67.8,42,12,TX,F,1
28,71.55,62,14,CA,M,1
67,46.43,36,14,CA,M,0
21,50.69,33,14,NY,M,0
20,36.43,44,16,CA,F,0
59,67.59,43,12,WA,F,1
49,59.98,52,12,FL,M,1
30,79.12,27,18,NY,M,1
47,36.83,47,10,FL,M,0
63,44.33,46,14,FL,F,0
31,53.47,39,18,TX,M,1
58,59.7,43,14,TX,F,1
45,46.76,50,14,NY,F,0
32,36.91,49,12,MA,M,0
27,63.22,29,12,TX,M,0
47,60.82,48,18,TX,F,1
49,36.26,39,14,TX,M,0
28,70.33,41,14,FL,M,1
58,67.55,41,10,NY,F,1
50,52.01,38,8,FL,F,0
40,51.19,52,20,WA,F,1
66,58.31,39,12,FL,F,0
53,37.07,29,14,WA,F,0
50,50.45,36,10,CA,M,0
44,17.71,42,16,CA,F,0
31,63.15,52,18,WA,F,1
20,26.58,46,14,WA,F,0
41,72.55,31,10,FL,M,1
59,45.05,65,14,WA,F,1
56,46.82,43,16,NY,F,1
66,40.58,53,12,CA,F,0
20,45.68,38,18,CA,M,1
20,71.28,45,14,MA,F,1
61,12.68,48,18,WA,F,0
61,69.15,52,14,TX,F,1
40,55.07,51,10,TX,M,0
34,31.89,49,12,WA,M,0
36,33.87,37,12,NY,M,0
41,75.15,34,18,TX,M,1
57,35.82,43,16,MA,F,0
54,32.7,49,16,WA,F,0
64,67.06,38,12,NY,M,1
35,55.08,51,12,NY,M,1
27,35.93,55,16,FL,F,0
66,53.25,31,14,NY,F,0
36,34.61,32,12,TX,M,0
36,66.51,39,14,TX,M,1
45,65.92,43,8,WA,M,0
32,57.98,35,12,WA,M,0
36,55.42,54,14,NY,F,1
57,76.42,44,10,MA,M,1
36,50.0,40,20,CA,M,1
67,32.27,26,12,FL,F,0
33,56.74,27,10,CA,F,0
64,81.29,43,12,NY,F,1
25,34.78,19,16,NY,F,0
54,44.58,50,12,CA,F,0
65,56.25,38,14,FL,M,1
33,49.19,72,8,CA,M,0
66,35.27,63,8,WA,M,0
27,66.83,38,12,TX,F,1
34,84.8,39,16,MA,M,1
46,52.94,50,18,WA,F,1
32,36.44,57,10,TX,M,0
68,26.77,24,14,MA,M,0
50,53.87,22,18,MA,F,1
54,66.56,34,12,MA,F,1
25,57.13,46,16,NY,M,1
24,49.96,45,10,MA,M,0
41,41.16,51,18,FL,M,1
68,33.62,28,16,CA,M,0
42,62.52,17,18,FL,M,1
44,63.71,49,16,CA,F,1
53,26.81,32,12,WA,F,0
45,73.85,20,18,WA,F,1
66,58.61,41,12,CA,F,0
24,70.99,48,12,FL,M,1
45,29.87,39,16,CA,M,0
39,29.51,35,16,MA,F,0
25,47.77,38,18,NY,M,1
25,57.54,36,12,WA,F,0
69,76.95,27,16,NY,M,1
37,60.59,33,16,MA,M,1
23,46.36,45,10,MA,M,0
36,34.6,43,12,WA,F,0
33,68.45,42,12,WA,F,1
33,35.53,30,12,MA,F,0
32,74.43,38,20,TX,F,1
26,45.73,18,14,NY,M,0
63,73.86,42,16,NY,M,1
34,60.18,54,20,TX,M,1
38,47.95,25,12,FL,M,0
62,42.21,34,16,NY,F,0
66,44.89,43,12,CA,M,0
63,56.42,53,18,MA,M,1
54,51.16,36,12,MA,M,0
36,41.09,33,18,TX,F,1
54,47.52,20,12,NY,F,0
38,51.18,41,12,FL,F,0
39,18.07,60,16,NY,M,0
55,56.87,43,12,MA,F,0
54,35.3,40,14,WA,M,0
51,32.7,43,12,CA,M,0
67,24.69,40,16,TX,M,0
63,23.09,32,12,WA,F,0
59,29.67,48,10,FL,F,0
43,39.36,42,12,WA,M,0
36,79.3,40,14,WA,M,1
26,42.11,30,12,FL,F,0
62,52.67,53,12,WA,F,0
69,56.01,47,12,TX,F,0
20,51.97,34,10,MA,M,0
54,48.84,50,14,NY,M,1
51,32.07,35,18,WA,M,0
55,71.76,32,12,TX,F,1
32,77.11,32,14,NY,F,1
25,24.76,22,16,NY,F,0
33,34.64,45,12,WA,M,0
56,45.8,22,16,TX,M,0
67,35.53,28,12,MA,F,0
34,57.59,19,14,WA,M,0
66,39.08,39,8,FL,F,0
23,82.48,38,16,NY,M,1
59,67.86,37,16,WA,F,1
35,53.19,30,8,NY,M,0
47,65.4,28,12,TX,M,0
35,66.59,45,20,CA,F,1
23,41.54,34,12,WA,F,0
64,37.76,43,14,MA,F,0
45,51.17,31,18,WA,F,1
47,62.92,42,16,NY,F,1
51,52.09,53,14,TX,M,1
64,26.35,46,16,FL,F,0
21,37.96,36,18,MA,F,0
50,48.89,43,14,TX,F,0
22,48.87,38,14,WA,M,0
27,79.59,40,12,FL,F,1
43,29.21,37,20,TX,F,0
34,57.58,38,16,CA,F,1
62,72.34,42,10,MA,M,1
50,84.07,30,18,NY,M,1
28,43.93,30,14,TX,F,0
58,57.37,26,10,TX,M,0
64,58.55,24,14,CA,F,0
21,52.93,28,12,WA,M,0
27,48.52,42,18,MA,F,1
26,56.54,31,12,MA,M,0
63,12.02,45,16,NY,F,0
58,60.23,40,14,TX,F,1
61,51.89,20,10,FL,M,0
35,46.66,47,20,TX,F,1
54,80.7,48,14,NY,F,1
49,39.88,30,12,TX,F,0
29,43.95,44,14,CA,F,0
57,79.87,31,18,TX,M,1
37,37.52,41,12,TX,F,0
69,41.75,27,12,FL,M,0
24,47.79,22,10,CA,M,0
48,62.61,36,12,CA,M,1
58,53.12,39,16,TX,M,1
53,30.61,36,14,MA,F,0
62,42.02,28,12,FL,F,0
64,40.89,36,12,TX,M,0
42,48.84,43,12,TX,F,0
24,56.39,40,18,NY,M,1
49,56.27,42,12,NY,F,0
25,23.36,33,20,MA,F,0
65,65.96,52,14,FL,F,1
63,53.79,28,12,WA,M,0
23,70.77,45,18,NY,M,1
48,56.66,52,14,WA,F,1
42,66.52,45,16,CA,M,1
25,57.0,38,20,NY,M,1
51,70.19,35,10,NY,F,1
61,57.83,50,10,FL,M,0
37,48.53,26,16,MA,F,0
34,84.09,30,12,WA,F,1
59,63.34,36,12,NY,F,1
51,58.61,52,8,NY,M,0
28,30.86,44,8,FL,F,0
56,30.68,30,16,FL,F,0
29,54.39,37,10,MA,M,0
39,52.18,34,14,WA,M,0
25,40.79,33,14,CA,M,0
67,52.11,50,12,MA,M,0
22,73.83,26,8,CA,F,0
61,60.43,56,16,TX,M,1
30,32.88,48,8,NY,M,0
62,48.33,51,16,WA,M,1
36,37.93,35,18,MA,M,0
51,44.18,39,12,NY,F,0
23,43.8,26,14,WA,M,0
23,42.84,35,14,WA,F,0
36,31.17,45,12,WA,M,0
60,48.09,53,18,NY,F,1
38,41.59,29,18,MA,F,0
24,10.0,36,12,FL,M,0
51,80.79,38,14,NY,F,1
41,66.33,26,18,WA,M,1
25,44.36,46,20,MA,F,1
54,50.28,33,14,TX,F,0
41,32.43,38,14,CA,F,0
20,75.44,35,12,WA,M,1
39,78.46,32,20,TX,F,1
41,52.35,40,10,FL,M,0
67,65.35,38,14,WA,F,1
30,52.63,36,12,TX,F,0
32,29.95,33,12,WA,F,0
61,43.82,43,12,NY,F,0
22,51.98,57,20,MA,F,1
28,43.18,41,10,TX,F,0
31,46.72,50,14,MA,M,0
42,48.63,26,10,NY,M,0
33,48.79,42,12,NY,M,0
52,50.78,29,12,MA,F,0
37,34.09,25,14,TX,M,0
68,39.24,33,12,MA,F,0
60,30.73,52,12,MA,M,0
28,64.67,50,10,CA,M,1
42,18.42,42,12,TX,F,0
29,67.3,25,20,CA,F,1
38,70.8,38,18,WA,M,1
66,45.47,43,12,MA,M,0
24,10.95,42,14,WA,M,0
66,44.58,22,18,TX,M,0
42,49.04,31,8,MA,F,0
49,34.84,39,16,WA,M,0
44,42.27,45,18,FL,F,1
47,72.95,18,10,NY,F,0
53,59.97,38,12,MA,M,0
64,36.13,41,20,NY,F,1
67,26.04,48,14,CA,M,0
66,45.09,47,8,WA,F,0
44,46.8,46,12,CA,F,0
29,57.44,32,12,MA,M,0
33,41.97,21,16,NY,F,0
61,57.67,36,16,NY,F,1
65,79.03,50,20,WA,M,1
49,62.23,54,12,MA,F,1
60,49.28,47,14,FL,F,1
44,47.25,44,14,FL,M,0
33,44.65,44,12,WA,M,0
54,67.71,34,12,MA,F,1
67,40.59,39,20,WA,F,1
53,50.68,57,18,MA,F,1
29,50.77,31,14,CA,M,0
54,42.47,56,14,WA,F,0
30,29.41,37,12,MA,F,0
30,54.84,53,14,FL,F,1
40,49.08,26,16,MA,F,0
40,57.5,46,14,MA,F,1
41,42.0,33,20,WA,F,1
64,68.31,26,14,CA,M,1
26,36.85,42,12,CA,M,0
36,75.68,50,16,CA,F,1
21,23.79,32,12,CA,F,0
31,56.52,25,12,TX,M,0
61,57.13,39,12,WA,M,0
37,38.07,39,12,NY,M,0
30,56.37,45,16,WA,F,1
35,69.19,49,14,TX,F,1
68,16.75,39,16,CA,F,0
37,57.54,59,14,TX,F,1
54,12.6,42,12,FL,M,0
45,35.52,37,16,FL,M,0
35,74.44,24,12,WA,M,1
25,41.27,37,12,WA,M,0
63,32.39,37,14,NY,F,0
62,47.03,50,12,NY,F,0
66,81.02,45,8,FL,M,1
66,22.52,28,14,CA,M,0
67,34.23,42,14,TX,M,0
61,72.46,47,12,NY,M,1
31,77.87,55,20,MA,M,1
32,48.45,49,14,NY,F,1
23,31.41,48,18,CA,F,0
